1 0 FT924-655 1  22.968359 STANDARD
27 0 FT921-8760 1  16.641182 STANDARD
27 0 FT922-10898 1  16.64053 STANDARD
27 0 FT943-696 1  16.639053 STANDARD
27 0 FT931-230 1  16.627771 STANDARD
27 0 FT941-10516 1  16.626778 STANDARD
27 0 FT931-5899 1  16.623648 STANDARD
27 0 FT931-5935 1  16.623648 STANDARD
27 0 FT932-12327 1  16.620651 STANDARD
27 0 FT941-11885 1  16.618195 STANDARD
27 0 FT931-5530 1  16.61064 STANDARD
27 0 FT922-13350 1  16.609606 STANDARD
27 0 FT944-13551 1  16.608135 STANDARD
27 0 FT932-12628 1  16.604736 STANDARD
27 0 FT933-12861 1  16.60315 STANDARD
27 0 FT922-13941 1  16.600939 STANDARD
27 0 FT933-5008 1  16.592638 STANDARD
27 0 FT924-7803 1  16.592207 STANDARD
27 0 FT922-7511 1  16.59183 STANDARD
27 0 FT922-5356 1  16.587454 STANDARD
27 0 FT931-5213 1  16.585846 STANDARD
27 0 FT911-4481 1  16.583082 STANDARD
27 0 FT921-15437 1  16.583027 STANDARD
27 0 FT933-3596 1  16.580418 STANDARD
27 0 FT932-4088 1  16.580349 STANDARD
27 0 FT933-15599 1  16.569023 STANDARD
27 0 FT933-6976 1  16.56886 STANDARD
27 0 FT942-14511 1  16.562035 STANDARD
27 0 FT931-9300 1  16.559587 STANDARD
27 0 FT911-2276 1  16.54999 STANDARD
27 0 FT931-13851 1  16.548185 STANDARD
27 0 FT922-6190 1  16.546087 STANDARD
27 0 FT943-10240 1  16.54489 STANDARD
27 0 FT924-11654 1  16.537678 STANDARD
27 0 FT923-2869 1  16.537424 STANDARD
27 0 FT942-6559 1  16.537224 STANDARD
27 0 FT931-13051 1  16.53296 STANDARD
27 0 FT931-1537 1  16.530453 STANDARD
27 0 FT922-10011 1  16.529934 STANDARD
27 0 FT922-6171 1  16.529366 STANDARD
27 0 FT934-11518 1  16.527618 STANDARD
27 0 FT934-7153 1  16.527292 STANDARD
27 0 FT944-17165 1  16.52437 STANDARD
27 0 FT932-15133 1  16.523304 STANDARD
27 0 FT923-5753 1  16.521698 STANDARD
27 0 FT922-13411 1  16.521132 STANDARD
27 0 FT942-1932 1  16.512465 STANDARD
27 0 FT942-119 1  16.512383 STANDARD
27 0 FT922-187 1  16.505198 STANDARD
27 0 FT924-943 1  16.503431 STANDARD
27 0 FT921-7325 1  16.502945 STANDARD
27 0 FT931-2359 1  16.49757 STANDARD
27 0 FT942-680 1  16.496645 STANDARD
27 0 FT922-2026 1  16.492123 STANDARD
27 0 FT933-15873 1  16.490791 STANDARD
27 0 FT941-5660 1  16.490263 STANDARD
27 0 FT921-6451 1  16.484968 STANDARD
27 0 FT931-16392 1  16.484621 STANDARD
27 0 FT944-13874 1  16.482319 STANDARD
27 0 FT944-17065 1  16.480616 STANDARD
27 0 FT932-9672 1  16.479702 STANDARD
27 0 FT931-1730 1  16.47608 STANDARD
27 0 FT944-6954 1  16.473194 STANDARD
27 0 FT911-4956 1  16.473015 STANDARD
27 0 FT941-3802 1  16.469402 STANDARD
27 0 FT943-13726 1  16.46891 STANDARD
27 0 FT924-7103 1  16.467169 STANDARD
27 0 FT943-3665 1  16.465958 STANDARD
27 0 FT943-1628 1  16.46489 STANDARD
27 0 FT941-183 1  16.464647 STANDARD
27 0 FT932-9460 1  16.464622 STANDARD
27 0 FT924-15230 1  16.460735 STANDARD
27 0 FT933-10282 1  16.45568 STANDARD
27 0 FT932-8807 1  16.451283 STANDARD
27 0 FT941-13162 1  16.44882 STANDARD
27 0 FT941-553 1  16.44846 STANDARD
27 0 FT944-17346 1  16.445475 STANDARD
27 0 FT933-8232 1  16.443851 STANDARD
27 0 FT923-6107 1  16.443169 STANDARD
27 0 FT923-5407 1  16.440626 STANDARD
27 0 FT933-11988 1  16.436346 STANDARD
27 0 FT944-8060 1  16.434935 STANDARD
27 0 FT921-7700 1  16.433935 STANDARD
27 0 FT943-5536 1  16.431374 STANDARD
27 0 FT934-10848 1  16.429253 STANDARD
27 0 FT944-18903 1  16.42583 STANDARD
27 0 FT923-6201 1  16.424133 STANDARD
27 0 FT911-3538 1  16.423801 STANDARD
27 0 FT943-12481 1  16.423624 STANDARD
27 0 FT934-12231 1  16.423006 STANDARD
27 0 FT942-12575 1  16.421307 STANDARD
27 0 FT931-292 1  16.418629 STANDARD
27 0 FT924-16078 1  16.404224 STANDARD
27 0 FT944-13593 1  16.402555 STANDARD
27 0 FT934-5574 1  16.401667 STANDARD
27 0 FT931-10985 1  16.39873 STANDARD
27 0 FT922-13593 1  16.397291 STANDARD
27 0 FT924-2943 1  16.39702 STANDARD
27 0 FT923-8194 1  16.396929 STANDARD
27 0 FT934-8353 1  16.396431 STANDARD
27 0 FT924-9922 1  16.391832 STANDARD
27 0 FT931-15236 1  16.390057 STANDARD
27 0 FT933-13318 1  16.38949 STANDARD
27 0 FT923-6279 1  16.385857 STANDARD
27 0 FT941-5439 1  16.382895 STANDARD
27 0 FT934-2495 1  16.382296 STANDARD
27 0 FT932-7579 1  16.381075 STANDARD
27 0 FT931-11015 1  16.380571 STANDARD
27 0 FT933-11354 1  16.37887 STANDARD
27 0 FT922-2709 1  16.374512 STANDARD
27 0 FT941-15370 1  16.371698 STANDARD
27 0 FT932-2375 1  16.366955 STANDARD
27 0 FT944-18590 1  16.366812 STANDARD
27 0 FT933-6561 1  16.36599 STANDARD
27 0 FT921-9497 1  16.365671 STANDARD
27 0 FT942-15296 1  16.359829 STANDARD
27 0 FT941-5526 1  16.35749 STANDARD
27 0 FT934-15174 1  16.357288 STANDARD
27 0 FT943-1475 1  16.352844 STANDARD
27 0 FT933-12423 1  16.35273 STANDARD
27 0 FT941-3659 1  16.351414 STANDARD
27 0 FT941-8654 1  16.346664 STANDARD
27 0 FT921-10992 1  16.346296 STANDARD
27 0 FT923-8971 1  16.340786 STANDARD
27 0 FT934-3493 1  16.338394 STANDARD
27 0 FT924-15385 1  16.33823 STANDARD
27 0 FT923-1950 1  16.337088 STANDARD
27 0 FT943-8297 1  16.337069 STANDARD
27 0 FT923-3220 1  16.335707 STANDARD
27 0 FT932-3703 1  16.32725 STANDARD
27 0 FT942-10660 1  16.32555 STANDARD
27 0 FT942-578 1  16.31919 STANDARD
27 0 FT944-6983 1  16.313745 STANDARD
27 0 FT932-4760 1  16.31231 STANDARD
27 0 FT921-3723 1  16.308062 STANDARD
27 0 FT932-15375 1  16.304428 STANDARD
27 0 FT932-15420 1  16.303593 STANDARD
27 0 FT934-14239 1  16.30054 STANDARD
27 0 FT943-10476 1  16.29976 STANDARD
27 0 FT943-9328 1  16.296986 STANDARD
27 0 FT944-6263 1  16.296904 STANDARD
27 0 FT941-11650 1  16.29666 STANDARD
27 0 FT933-12379 1  16.294727 STANDARD
27 0 FT924-6738 1  16.294624 STANDARD
27 0 FT924-2966 1  16.290218 STANDARD
27 0 FT934-9929 1  16.288538 STANDARD
27 0 FT934-10775 1  16.288021 STANDARD
27 0 FT942-8182 1  16.28792 STANDARD
27 0 FT923-5442 1  16.287825 STANDARD
27 0 FT934-12639 1  16.286549 STANDARD
27 0 FT934-2271 1  16.28483 STANDARD
27 0 FT941-2234 1  16.277584 STANDARD
27 0 FT922-5946 1  16.270506 STANDARD
27 0 FT933-13035 1  16.27016 STANDARD
27 0 FT931-2252 1  16.26798 STANDARD
27 0 FT933-2692 1  16.266417 STANDARD
27 0 FT922-9687 1  16.26406 STANDARD
27 0 FT934-12470 1  16.263336 STANDARD
27 0 FT934-661 1  16.261147 STANDARD
27 0 FT944-15867 1  16.259867 STANDARD
27 0 FT922-2768 1  16.259312 STANDARD
27 0 FT943-8480 1  16.257446 STANDARD
27 0 FT924-7753 1  16.254417 STANDARD
27 0 FT921-1201 1  16.25325 STANDARD
27 0 FT943-4948 1  16.25321 STANDARD
27 0 FT943-296 1  16.249758 STANDARD
27 0 FT941-16739 1  16.24745 STANDARD
27 0 FT933-5987 1  16.246601 STANDARD
27 0 FT934-2850 1  16.245506 STANDARD
27 0 FT932-7565 1  16.245184 STANDARD
27 0 FT931-545 1  16.24293 STANDARD
27 0 FT921-12295 1  16.236694 STANDARD
27 0 FT942-7547 1  16.23605 STANDARD
28 0 FT943-9226 1  30.266176 STANDARD
28 0 FT941-12411 1  30.001173 STANDARD
28 0 FT943-4802 1  29.702282 STANDARD
28 0 FT921-10968 1  28.81408 STANDARD
28 0 FT941-9415 1  28.393032 STANDARD
28 0 FT943-5357 1  28.224903 STANDARD
28 0 FT934-7698 1  27.525667 STANDARD
28 0 FT943-11076 1  27.001236 STANDARD
28 0 FT922-10401 1  26.68685 STANDARD
28 0 FT931-892 1  26.392956 STANDARD
28 0 FT922-5103 1  26.349604 STANDARD
28 0 FT941-5916 1  26.165226 STANDARD
28 0 FT934-12742 1  26.129234 STANDARD
28 0 FT943-4010 1  25.988033 STANDARD
28 0 FT924-357 1  25.257341 STANDARD
28 0 FT931-13113 1  24.846073 STANDARD
28 0 FT931-1806 1  24.791235 STANDARD
28 0 FT921-10372 1  23.899494 STANDARD
28 0 FT942-13785 1  23.568338 STANDARD
28 0 FT941-16778 1  23.439877 STANDARD
28 0 FT943-5797 1  23.387865 STANDARD
28 0 FT932-7356 1  23.161734 STANDARD
28 0 FT943-808 1  22.9407 STANDARD
28 0 FT934-16281 1  22.70505 STANDARD
28 0 FT944-11275 1  22.507483 STANDARD
28 0 FT943-4878 1  22.469774 STANDARD
28 0 FT943-3422 1  22.303782 STANDARD
28 0 FT911-5175 1  22.255804 STANDARD
28 0 FT942-15273 1  22.246067 STANDARD
28 0 FT942-10921 1  22.110525 STANDARD
28 0 FT924-2188 1  21.746756 STANDARD
28 0 FT932-8742 1  21.681181 STANDARD
28 0 FT924-11796 1  21.514482 STANDARD
28 0 FT932-4220 1  21.50869 STANDARD
28 0 FT923-13059 1  21.429749 STANDARD
28 0 FT943-13386 1  21.419947 STANDARD
28 0 FT941-9688 1  21.150898 STANDARD
28 0 FT922-10025 1  21.093412 STANDARD
28 0 FT944-11234 1  21.08 STANDARD
28 0 FT943-6050 1  20.986235 STANDARD
28 0 FT933-3431 1  20.949284 STANDARD
28 0 FT932-6854 1  20.91875 STANDARD
28 0 FT923-2918 1  20.836432 STANDARD
28 0 FT931-10612 1  20.803219 STANDARD
28 0 FT933-2679 1  20.789558 STANDARD
28 0 FT941-13779 1  20.756258 STANDARD
28 0 FT943-8138 1  20.707008 STANDARD
28 0 FT924-15375 1  20.69361 STANDARD
28 0 FT922-2782 1  20.692114 STANDARD
28 0 FT922-4636 1  20.680153 STANDARD
28 0 FT924-3534 1  20.667944 STANDARD
28 0 FT923-1910 1  20.666506 STANDARD
28 0 FT932-4859 1  20.602356 STANDARD
28 0 FT932-13560 1  20.495636 STANDARD
28 0 FT932-1284 1  20.410234 STANDARD
28 0 FT942-1183 1  20.386812 STANDARD
28 0 FT941-13875 1  20.37803 STANDARD
28 0 FT932-16184 1  20.376915 STANDARD
28 0 FT944-60 1  20.37502 STANDARD
28 0 FT943-8239 1  20.373299 STANDARD
28 0 FT942-12799 1  20.299881 STANDARD
28 0 FT943-3184 1  20.278969 STANDARD
28 0 FT941-1084 1  20.25949 STANDARD
28 0 FT943-8324 1  20.224373 STANDARD
28 0 FT941-4885 1  20.22084 STANDARD
28 0 FT942-8067 1  20.20681 STANDARD
28 0 FT942-7763 1  20.059317 STANDARD
28 0 FT921-6924 1  20.058826 STANDARD
28 0 FT924-7648 1  20.027155 STANDARD
28 0 FT911-2458 1  19.989973 STANDARD
28 0 FT932-6396 1  19.98798 STANDARD
28 0 FT931-3479 1  19.873177 STANDARD
28 0 FT933-7393 1  19.85907 STANDARD
28 0 FT933-6994 1  19.816639 STANDARD
28 0 FT941-15524 1  19.77499 STANDARD
28 0 FT933-173 1  19.747644 STANDARD
28 0 FT921-15468 1  19.720577 STANDARD
28 0 FT932-591 1  19.708502 STANDARD
28 0 FT941-4190 1  19.674837 STANDARD
28 0 FT942-10079 1  19.630888 STANDARD
28 0 FT944-3660 1  19.581207 STANDARD
28 0 FT934-4288 1  19.569054 STANDARD
28 0 FT943-12284 1  19.550951 STANDARD
28 0 FT942-12847 1  19.522429 STANDARD
28 0 FT943-5793 1  19.522213 STANDARD
28 0 FT931-7277 1  19.477716 STANDARD
28 0 FT911-1199 1  19.461563 STANDARD
28 0 FT923-8477 1  19.461243 STANDARD
28 0 FT944-13047 1  19.448156 STANDARD
28 0 FT921-9942 1  19.43291 STANDARD
28 0 FT921-4681 1  19.411581 STANDARD
28 0 FT943-14332 1  19.395489 STANDARD
28 0 FT941-17519 1  19.376932 STANDARD
28 0 FT943-7112 1  19.369717 STANDARD
28 0 FT943-9218 1  19.36514 STANDARD
28 0 FT941-15533 1  19.360352 STANDARD
28 0 FT932-11407 1  19.322985 STANDARD
28 0 FT911-3351 1  19.274261 STANDARD
28 0 FT923-1944 1  19.249128 STANDARD
28 0 FT943-8321 1  19.233946 STANDARD
28 0 FT911-3399 1  19.22418 STANDARD
28 0 FT942-10784 1  19.223377 STANDARD
28 0 FT933-11266 1  19.208426 STANDARD
28 0 FT921-11685 1  19.19889 STANDARD
28 0 FT942-10093 1  19.196913 STANDARD
28 0 FT932-846 1  19.1967 STANDARD
28 0 FT931-9136 1  19.186798 STANDARD
28 0 FT942-5998 1  19.183283 STANDARD
28 0 FT942-7258 1  19.160152 STANDARD
28 0 FT942-328 1  19.157354 STANDARD
28 0 FT933-10009 1  19.155743 STANDARD
28 0 FT944-864 1  19.147099 STANDARD
28 0 FT931-12366 1  19.140358 STANDARD
28 0 FT944-8227 1  19.091286 STANDARD
28 0 FT943-14878 1  19.087137 STANDARD
28 0 FT924-9710 1  19.077013 STANDARD
28 0 FT931-17056 1  19.04179 STANDARD
28 0 FT931-6154 1  19.030764 STANDARD
28 0 FT933-9451 1  19.008757 STANDARD
28 0 FT944-11390 1  19.00799 STANDARD
28 0 FT932-5296 1  18.988625 STANDARD
28 0 FT934-9276 1  18.958942 STANDARD
28 0 FT941-7370 1  18.953793 STANDARD
28 0 FT943-3288 1  18.930305 STANDARD
28 0 FT944-4189 1  18.913424 STANDARD
28 0 FT941-8037 1  18.895245 STANDARD
28 0 FT932-7110 1  18.851973 STANDARD
28 0 FT931-14635 1  18.84967 STANDARD
28 0 FT933-16469 1  18.844028 STANDARD
28 0 FT921-4920 1  18.843622 STANDARD
28 0 FT932-4604 1  18.83553 STANDARD
28 0 FT922-2749 1  18.83449 STANDARD
28 0 FT944-18871 1  18.828125 STANDARD
28 0 FT941-5215 1  18.821463 STANDARD
28 0 FT932-17351 1  18.813005 STANDARD
28 0 FT933-1109 1  18.802414 STANDARD
28 0 FT924-1590 1  18.792631 STANDARD
28 0 FT921-13721 1  18.784882 STANDARD
28 0 FT922-9081 1  18.778038 STANDARD
28 0 FT943-193 1  18.775057 STANDARD
28 0 FT931-10619 1  18.761223 STANDARD
28 0 FT931-16881 1  18.714714 STANDARD
28 0 FT921-14657 1  18.708712 STANDARD
28 0 FT932-13957 1  18.688684 STANDARD
28 0 FT944-15532 1  18.679134 STANDARD
28 0 FT943-5505 1  18.65544 STANDARD
28 0 FT944-9185 1  18.645525 STANDARD
28 0 FT923-8009 1  18.638306 STANDARD
28 0 FT934-7599 1  18.630093 STANDARD
28 0 FT942-6848 1  18.594177 STANDARD
28 0 FT934-15881 1  18.487791 STANDARD
28 0 FT921-15325 1  18.47237 STANDARD
28 0 FT933-1180 1  18.465225 STANDARD
28 0 FT932-7662 1  18.456806 STANDARD
28 0 FT942-9941 1  18.454071 STANDARD
28 0 FT924-5035 1  18.45364 STANDARD
28 0 FT944-1695 1  18.440994 STANDARD
28 0 FT921-14876 1  18.411499 STANDARD
28 0 FT924-2918 1  18.409338 STANDARD
28 0 FT942-15632 1  18.39549 STANDARD
28 0 FT941-17167 1  18.395237 STANDARD
28 0 FT931-13724 1  18.38941 STANDARD
28 0 FT943-2542 1  18.374432 STANDARD
28 0 FT923-1645 1  18.373497 STANDARD
28 0 FT944-17989 1  18.373444 STANDARD
28 0 FT943-9610 1  18.342236 STANDARD
28 0 FT933-1232 1  18.342184 STANDARD
28 0 FT933-1189 1  18.333227 STANDARD
28 0 FT944-8993 1  18.326754 STANDARD
28 0 FT934-16630 1  18.309967 STANDARD
28 0 FT922-11143 1  18.27442 STANDARD
28 0 FT931-3673 1  18.26901 STANDARD
28 0 FT942-7417 1  18.255966 STANDARD
28 0 FT934-11940 1  18.229715 STANDARD
28 0 FT931-2340 1  18.219206 STANDARD
28 0 FT911-2698 1  18.213524 STANDARD
28 0 FT924-13039 1  18.210403 STANDARD
28 0 FT924-6019 1  18.20875 STANDARD
28 0 FT941-3170 1  18.204214 STANDARD
28 0 FT922-7053 1  18.194849 STANDARD
28 0 FT911-1879 1  18.179625 STANDARD
28 0 FT941-4291 1  18.15719 STANDARD
28 0 FT943-11018 1  18.145266 STANDARD
28 0 FT922-14715 1  18.13847 STANDARD
28 0 FT911-4066 1  18.108068 STANDARD
28 0 FT931-7117 1  18.087248 STANDARD
28 0 FT942-11268 1  18.082165 STANDARD
28 0 FT941-16490 1  18.074318 STANDARD
28 0 FT922-10019 1  18.071243 STANDARD
28 0 FT943-15452 1  18.06166 STANDARD
28 0 FT942-5207 1  18.056566 STANDARD
28 0 FT934-2781 1  18.056046 STANDARD
28 0 FT922-5780 1  18.041952 STANDARD
28 0 FT941-11643 1  18.039318 STANDARD
28 0 FT942-10413 1  18.037247 STANDARD
28 0 FT932-13694 1  18.024258 STANDARD
28 0 FT933-7373 1  18.023767 STANDARD
28 0 FT921-14168 1  18.021837 STANDARD
28 0 FT932-6843 1  18.010698 STANDARD
28 0 FT942-10370 1  17.99758 STANDARD
28 0 FT934-15065 1  17.995436 STANDARD
28 0 FT944-1171 1  17.9927 STANDARD
28 0 FT943-16736 1  17.977884 STANDARD
28 0 FT941-7003 1  17.966932 STANDARD
28 0 FT934-14180 1  17.950087 STANDARD
28 0 FT932-1558 1  17.94816 STANDARD
28 0 FT934-9112 1  17.948107 STANDARD
28 0 FT933-13071 1  17.944355 STANDARD
28 0 FT924-1572 1  17.929022 STANDARD
28 0 FT932-14714 1  17.920305 STANDARD
28 0 FT934-12099 1  17.91091 STANDARD
28 0 FT921-15520 1  17.904058 STANDARD
28 0 FT942-1635 1  17.902168 STANDARD
28 0 FT944-11216 1  17.880198 STANDARD
28 0 FT944-6428 1  17.874165 STANDARD
28 0 FT924-14525 1  17.864092 STANDARD
28 0 FT934-3055 1  17.863558 STANDARD
28 0 FT934-15478 1  17.862951 STANDARD
28 0 FT934-16248 1  17.859133 STANDARD
28 0 FT941-859 1  17.85236 STANDARD
28 0 FT924-11410 1  17.846575 STANDARD
28 0 FT941-10721 1  17.832985 STANDARD
28 0 FT943-4055 1  17.830486 STANDARD
28 0 FT921-16616 1  17.82879 STANDARD
28 0 FT941-14562 1  17.810688 STANDARD
28 0 FT933-13569 1  17.809805 STANDARD
28 0 FT941-16752 1  17.804821 STANDARD
28 0 FT941-5561 1  17.803848 STANDARD
28 0 FT924-14543 1  17.799984 STANDARD
28 0 FT942-11253 1  17.793114 STANDARD
28 0 FT942-12343 1  17.788506 STANDARD
28 0 FT921-16175 1  17.784449 STANDARD
28 0 FT942-10747 1  17.77264 STANDARD
28 0 FT923-859 1  17.757772 STANDARD
28 0 FT921-16317 1  17.756874 STANDARD
28 0 FT943-2507 1  17.749239 STANDARD
28 0 FT944-14148 1  17.741192 STANDARD
28 0 FT931-10613 1  17.735235 STANDARD
28 0 FT942-14375 1  17.728773 STANDARD
28 0 FT941-9508 1  17.725435 STANDARD
28 0 FT933-2045 1  17.724577 STANDARD
28 0 FT942-11699 1  17.724554 STANDARD
28 0 FT942-5994 1  17.722488 STANDARD
28 0 FT942-1120 1  17.719843 STANDARD
28 0 FT922-522 1  17.718433 STANDARD
28 0 FT924-4316 1  17.690643 STANDARD
28 0 FT932-15091 1  17.68769 STANDARD
28 0 FT933-7237 1  17.685966 STANDARD
28 0 FT942-11716 1  17.6858 STANDARD
28 0 FT933-16748 1  17.664413 STANDARD
28 0 FT941-13597 1  17.663624 STANDARD
28 0 FT924-14483 1  17.639643 STANDARD
28 0 FT931-16992 1  17.636238 STANDARD
28 0 FT934-3354 1  17.633036 STANDARD
28 0 FT934-9693 1  17.629107 STANDARD
28 0 FT934-15919 1  17.62064 STANDARD
28 0 FT931-16754 1  17.615026 STANDARD
28 0 FT922-11915 1  17.609903 STANDARD
28 0 FT924-5455 1  17.60378 STANDARD
28 0 FT924-9350 1  17.580498 STANDARD
28 0 FT932-5197 1  17.537107 STANDARD
28 0 FT934-14912 1  17.53558 STANDARD
28 0 FT941-2463 1  17.519543 STANDARD
28 0 FT941-5213 1  17.518038 STANDARD
28 0 FT933-4962 1  17.512493 STANDARD
28 0 FT934-4376 1  17.495173 STANDARD
28 0 FT941-2589 1  17.493788 STANDARD
28 0 FT921-15529 1  17.48858 STANDARD
28 0 FT922-4943 1  17.472658 STANDARD
28 0 FT933-6321 1  17.468166 STANDARD
28 0 FT933-27 1  17.46613 STANDARD
28 0 FT921-11061 1  17.456182 STANDARD
28 0 FT944-618 1  17.45091 STANDARD
28 0 FT943-15071 1  17.45007 STANDARD
28 0 FT942-8190 1  17.447487 STANDARD
28 0 FT932-16487 1  17.444805 STANDARD
28 0 FT933-12530 1  17.433508 STANDARD
28 0 FT941-1949 1  17.430971 STANDARD
28 0 FT922-5769 1  17.427126 STANDARD
28 0 FT933-9983 1  17.424314 STANDARD
28 0 FT933-2073 1  17.423439 STANDARD
28 0 FT943-13258 1  17.421394 STANDARD
28 0 FT923-12650 1  17.415886 STANDARD
28 0 FT924-12843 1  17.410332 STANDARD
28 0 FT931-733 1  17.409302 STANDARD
28 0 FT942-9665 1  17.406855 STANDARD
28 0 FT922-1016 1  17.395632 STANDARD
28 0 FT942-5028 1  17.39366 STANDARD
28 0 FT933-6535 1  17.3918 STANDARD
28 0 FT941-12322 1  17.385765 STANDARD
28 0 FT941-858 1  17.3778 STANDARD
28 0 FT922-8534 1  17.376642 STANDARD
28 0 FT931-3102 1  17.373753 STANDARD
28 0 FT943-52 1  17.35423 STANDARD
28 0 FT933-2153 1  17.349451 STANDARD
28 0 FT943-15483 1  17.326391 STANDARD
28 0 FT943-13453 1  17.308584 STANDARD
28 0 FT923-13572 1  17.304058 STANDARD
28 0 FT924-10975 1  17.303555 STANDARD
28 0 FT922-10463 1  17.292532 STANDARD
28 0 FT943-11847 1  17.286636 STANDARD
28 0 FT932-5530 1  17.271097 STANDARD
28 0 FT932-3141 1  17.263058 STANDARD
28 0 FT932-10369 1  17.257679 STANDARD
28 0 FT944-11747 1  17.253637 STANDARD
28 0 FT931-16154 1  17.253536 STANDARD
28 0 FT922-1953 1  17.245367 STANDARD
28 0 FT941-9756 1  17.243618 STANDARD
28 0 FT941-17454 1  17.243027 STANDARD
28 0 FT933-10806 1  17.239138 STANDARD
28 0 FT943-1985 1  17.233906 STANDARD
28 0 FT932-2112 1  17.216724 STANDARD
28 0 FT943-15723 1  17.213486 STANDARD
28 0 FT924-8523 1  17.213024 STANDARD
28 0 FT944-7786 1  17.193327 STANDARD
28 0 FT922-9892 1  17.190609 STANDARD
28 0 FT941-17621 1  17.189337 STANDARD
28 0 FT941-8572 1  17.187546 STANDARD
28 0 FT942-9122 1  17.184582 STANDARD
28 0 FT921-7888 1  17.183311 STANDARD
28 0 FT933-16745 1  17.180485 STANDARD
28 0 FT911-788 1  17.179424 STANDARD
28 0 FT933-6881 1  17.179003 STANDARD
28 0 FT934-11006 1  17.178051 STANDARD
28 0 FT934-1794 1  17.177507 STANDARD
28 0 FT942-10229 1  17.17733 STANDARD
28 0 FT924-12558 1  17.17448 STANDARD
28 0 FT923-11016 1  17.174374 STANDARD
28 0 FT933-3783 1  17.172983 STANDARD
28 0 FT923-5441 1  17.17269 STANDARD
28 0 FT932-2114 1  17.164999 STANDARD
28 0 FT943-12440 1  17.164143 STANDARD
28 0 FT933-2422 1  17.156775 STANDARD
28 0 FT931-14670 1  17.154278 STANDARD
28 0 FT933-16560 1  17.14988 STANDARD
28 0 FT933-1192 1  17.149412 STANDARD
28 0 FT932-3130 1  17.141226 STANDARD
28 0 FT924-8013 1  17.137325 STANDARD
28 0 FT941-10243 1  17.13198 STANDARD
28 0 FT923-9092 1  17.13096 STANDARD
28 0 FT932-13803 1  17.1262 STANDARD
28 0 FT922-2756 1  17.122938 STANDARD
28 0 FT922-8990 1  17.122704 STANDARD
28 0 FT944-134 1  17.122646 STANDARD
28 0 FT944-10864 1  17.118225 STANDARD
28 0 FT942-17068 1  17.106888 STANDARD
28 0 FT942-6817 1  17.103743 STANDARD
28 0 FT921-2114 1  17.103226 STANDARD
28 0 FT931-15330 1  17.10173 STANDARD
28 0 FT933-9762 1  17.097446 STANDARD
28 0 FT943-9 1  17.0933 STANDARD
28 0 FT941-5705 1  17.091858 STANDARD
28 0 FT923-2702 1  17.090418 STANDARD
28 0 FT941-12426 1  17.089169 STANDARD
28 0 FT924-15018 1  17.087353 STANDARD
28 0 FT941-10258 1  17.082573 STANDARD
28 0 FT922-5315 1  17.07693 STANDARD
28 0 FT924-15756 1  17.073778 STANDARD
28 0 FT933-4174 1  17.073362 STANDARD
28 0 FT943-10561 1  17.070818 STANDARD
28 0 FT932-4616 1  17.067482 STANDARD
28 0 FT934-13152 1  17.061428 STANDARD
28 0 FT944-18464 1  17.058369 STANDARD
28 0 FT923-12346 1  17.056387 STANDARD
28 0 FT924-11034 1  17.05157 STANDARD
28 0 FT924-4892 1  17.047747 STANDARD
28 0 FT931-9860 1  17.046825 STANDARD
28 0 FT944-1451 1  17.043465 STANDARD
28 0 FT924-5216 1  17.040308 STANDARD
28 0 FT943-63 1  17.03994 STANDARD
28 0 FT933-9223 1  17.038258 STANDARD
28 0 FT943-805 1  17.03802 STANDARD
28 0 FT933-16756 1  17.035234 STANDARD
28 0 FT932-10316 1  17.032253 STANDARD
28 0 FT943-8446 1  17.03136 STANDARD
28 0 FT934-1521 1  17.029846 STANDARD
28 0 FT933-1154 1  17.021229 STANDARD
28 0 FT943-11622 1  17.019922 STANDARD
28 0 FT941-16947 1  17.01772 STANDARD
28 0 FT943-2823 1  17.017109 STANDARD
28 0 FT923-8776 1  17.010168 STANDARD
28 0 FT944-4050 1  17.009314 STANDARD
28 0 FT922-4937 1  17.004807 STANDARD
28 0 FT921-8369 1  17.00469 STANDARD
28 0 FT911-3750 1  17.002172 STANDARD
28 0 FT931-3349 1  17.002035 STANDARD
28 0 FT944-5075 1  16.999718 STANDARD
28 0 FT943-3805 1  16.994768 STANDARD
28 0 FT924-15542 1  16.989635 STANDARD
28 0 FT944-1706 1  16.988836 STANDARD
28 0 FT921-6642 1  16.988571 STANDARD
28 0 FT921-10211 1  16.98535 STANDARD
28 0 FT933-6959 1  16.985315 STANDARD
28 0 FT942-14852 1  16.982063 STANDARD
28 0 FT941-4225 1  16.974903 STANDARD
28 0 FT931-9446 1  16.97224 STANDARD
28 0 FT933-16532 1  16.955769 STANDARD
28 0 FT941-8051 1  16.951305 STANDARD
28 0 FT942-16307 1  16.94843 STANDARD
28 0 FT943-8930 1  16.948166 STANDARD
28 0 FT944-383 1  16.939754 STANDARD
28 0 FT931-1052 1  16.934439 STANDARD
28 0 FT934-11951 1  16.934206 STANDARD
28 0 FT923-15716 1  16.928703 STANDARD
28 0 FT944-4864 1  16.921354 STANDARD
28 0 FT943-12622 1  16.918034 STANDARD
28 0 FT923-13628 1  16.91635 STANDARD
28 0 FT942-10490 1  16.914402 STANDARD
28 0 FT931-11636 1  16.910511 STANDARD
28 0 FT941-11072 1  16.90951 STANDARD
28 0 FT941-17706 1  16.904968 STANDARD
